Coastal_aerosol	RSR_coastal_aerosol	Blue	RSR_blue	Green	RSR_green	Red	RSR_red	NIR	RSR_NIR	SWIR-I	RSR_SWIR-I
		520	0.000785	596	0.005944					1599	0.945872
		521	0.000516	597	0.002574					1600	0.946175
		522	0.000321	598	0.001046					1601	0.946432
		523	0.000162	599	0.000394					1602	0.947006
		524	0.000072	600	0.000085					1603	0.947589
		525	0.000057	601	-0.000084					1604	0.950194
		526	0.000023	602	-0.000194					1605	0.952859
		527	0.000032	603	-0.000234					1606	0.951303
		528	-0.000016	604	-0.000292					1607	0.94967
				605	-0.000307					1608	0.953047
				606	-0.000343					1609	0.956494
				607	-0.000348					1610	0.959047
				608	-0.000329					1611	0.961545
				609	-0.000351					1612	0.960048
				610	-0.000317					1613	0.958335
										1614	0.959835
										1615	0.96147
										1616	0.960857
										1617	0.960175
										1618	0.960813
										1619	0.961486
										1620	0.964703
										1621	0.967943
										1622	0.969314
										1623	0.970589
										1624	0.973713
										1625	0.976906
										1626	0.9791
										1627	0.981258
										1628	0.981285
										1629	0.981372
										1630	0.988609
										1631	0.995869
										1632	0.998021
										1633	1
										1634	0.999848
										1635	0.999642
										1636	0.99659
										1637	0.993439
										1638	0.986217
										1639	0.978989
										1640	0.967125
										1641	0.95512
										1642	0.936199
										1643	0.917239
										1644	0.879424
										1645	0.840967
										1646	0.796545
										1647	0.751893
										1648	0.694313
										1649	0.636542
										1650	0.573232
										1651	0.509946
										1652	0.451966
										1653	0.39403
										1654	0.34275
										1655	0.291752
										1656	0.251309
										1657	0.211153
										1658	0.180823
										1659	0.15054
										1660	0.128463
										1661	0.106664
										1662	0.090735
										1663	0.074941
										1664	0.06379
										1665	0.052752
										1666	0.045028
										1667	0.03731
										1668	0.031821
										1669	0.02635
										1670	0.022504
										1671	0.018724
										1672	0.016045
										1673	0.013394
										1674	0.011483
										1675	0.009587
										1676	0.008227
										1677	0.006882
										1678	0.00591
										1679	0.00494
										1680	0.004257
										1681	0.003576
										1682	0.003055
										1683	0.002541
										1684	0.00216
										1685	0.001781
										1686	0.001512
										1687	0.001244
										1688	0.00104
										1689	0.000837
										1690	0.000677
										1691	0.000517
										1692	0.000409
										1693	0.000301
										1694	0.000206
										1695	0.000112
										1696	0.00004
										1697	-0.000031
